,index,timestamp,open,high,low,close,volume
0,0,1694304000000,0.003875,0.003879,0.003839,0.003843,124056386
1,1,1694304060000,0.003842,0.003843,0.003832,0.00384,62218318
2,2,1694304120000,0.003841,0.003842,0.003823,0.003825,67131958
3,3,1694304180000,0.003825,0.003832,0.003822,0.003828,50977900
4,4,1694304240000,0.003828,0.003835,0.003815,0.003816,64591455
5,5,1694304300000,0.003815,0.003824,0.003803,0.003804,76458622
6,6,1694304360000,0.003804,0.003807,0.00379,0.003791,81612912
7,7,1694304420000,0.003791,0.003821,0.00379,0.003819,83869697
8,8,1694304480000,0.003819,0.003841,0.003819,0.003833,74528611
9,9,1694304540000,0.003833,0.003844,0.003826,0.003842,44511581
10,10,1694304600000,0.003843,0.003853,0.003843,0.003849,48350827
11,11,1694304660000,0.003849,0.003852,0.003837,0.003846,36582854
12,12,1694304720000,0.003846,0.003858,0.003846,0.003856,41613493
13,13,1694304780000,0.003856,0.00386,0.003853,0.003855,24999483
14,14,1694304840000,0.003855,0.003869,0.003837,0.003844,84430531
15,15,1694304900000,0.003844,0.003864,0.003844,0.003864,50568461
16,16,1694304960000,0.003864,0.003864,0.003845,0.003846,45723447
17,17,1694305020000,0.003846,0.003846,0.003832,0.003834,65876037
18,18,1694305080000,0.003834,0.003845,0.003834,0.00384,27170952
19,19,1694305140000,0.00384,0.003843,0.003822,0.003822,35621433
20,20,1694305200000,0.003822,0.003831,0.003792,0.003807,141767500
21,21,1694305260000,0.003807,0.003835,0.003807,0.003825,69089208
22,22,1694305320000,0.003825,0.00383,0.003818,0.003822,40051068
23,23,1694305380000,0.003822,0.003825,0.003814,0.003821,36712146
24,24,1694305440000,0.00382,0.003825,0.003816,0.003823,22302235
25,25,1694305500000,0.003823,0.003843,0.003806,0.003835,77279066
26,26,1694305560000,0.003836,0.00384,0.003833,0.003834,36712145
27,27,1694305620000,0.003834,0.00385,0.003833,0.003838,49558632
28,28,1694305680000,0.003837,0.003837,0.003813,0.003818,54224068
