,index,timestamp,open,high,low,close,volume
0,0,1693526400000,3.614,3.62,3.609,3.618,2646.0
1,1,1693526460000,3.618,3.623,3.617,3.622,801.4
2,2,1693526520000,3.622,3.625,3.622,3.625,2331.4
3,3,1693526580000,3.624,3.624,3.623,3.623,1224.0
4,4,1693526640000,3.624,3.626,3.624,3.626,178.3
5,5,1693526700000,3.626,3.631,3.626,3.63,952.5
6,6,1693526760000,3.63,3.63,3.625,3.625,1511.2
7,7,1693526820000,3.625,3.625,3.625,3.625,10.7
8,8,1693526880000,3.625,3.625,3.625,3.625,30.6
9,9,1693526940000,3.626,3.626,3.626,3.626,225.8
10,10,1693527000000,3.627,3.627,3.625,3.625,510.0
11,11,1693527060000,3.625,3.627,3.625,3.625,107.6
12,12,1693527120000,3.626,3.627,3.626,3.627,38.7
13,13,1693527180000,3.627,3.628,3.627,3.627,99.1
14,14,1693527240000,3.628,3.632,3.628,3.631,1626.5
15,15,1693527300000,3.63,3.633,3.629,3.631,855.7
16,16,1693527360000,3.631,3.636,3.631,3.635,889.4
17,17,1693527420000,3.635,3.635,3.625,3.629,1928.3
18,18,1693527480000,3.633,3.633,3.63,3.63,152.8
19,19,1693527540000,3.63,3.63,3.63,3.63,0.0
20,20,1693527600000,3.63,3.635,3.629,3.632,282.9
21,21,1693527660000,3.631,3.631,3.63,3.63,211.4
22,22,1693527720000,3.63,3.63,3.626,3.628,1735.3
23,23,1693527780000,3.629,3.629,3.628,3.628,91.5
24,24,1693527840000,3.627,3.627,3.627,3.627,14.1
25,25,1693527900000,3.627,3.627,3.622,3.622,1011.5
26,26,1693527960000,3.622,3.623,3.622,3.623,906.6
27,27,1693528020000,3.622,3.628,3.622,3.628,3472.3
28,28,1693528080000,3.629,3.629,3.628,3.628,17.3
29,29,1693528140000,3.627,3.627,3.626,3.626,39.0
30,30,1693528200000,3.626,3.629,3.625,3.626,279.4
31,31,1693528260000,3.626,3.626,3.626,3.626,214.3
32,32,1693528320000,3.626,3.627,3.626,3.627,115.7
33,33,1693528380000,3.628,3.629,3.627,3.628,58.1
34,34,1693528440000,3.628,3.628,3.628,3.628,0.0
35,35,1693528500000,3.627,3.627,3.625,3.625,561.8
36,36,1693528560000,3.626,3.626,3.624,3.625,269.1
37,37,1693528620000,3.624,3.625,3.624,3.625,110.2
38,38,1693528680000,3.625,3.626,3.625,3.625,709.8
39,39,1693528740000,3.624,3.624,3.623,3.623,691.4
40,40,1693528800000,3.625,3.633,3.625,3.628,1355.2
41,41,1693528860000,3.628,3.633,3.627,3.633,306.8
42,42,1693528920000,3.634,3.636,3.632,3.632,780.4
43,43,1693528980000,3.632,3.635,3.632,3.634,100.8
44,44,1693529040000,3.634,3.636,3.634,3.635,121.9
45,45,1693529100000,3.634,3.634,3.63,3.63,234.0
46,46,1693529160000,3.63,3.635,3.63,3.634,467.9
47,47,1693529220000,3.635,3.636,3.633,3.635,124.0
48,48,1693529280000,3.633,3.633,3.633,3.633,5.2
49,49,1693529340000,3.632,3.632,3.632,3.632,15.5
50,50,1693529400000,3.632,3.634,3.631,3.634,659.6
51,51,1693529460000,3.633,3.634,3.633,3.634,12.3
52,52,1693529520000,3.634,3.634,3.633,3.633,138.7
53,53,1693529580000,3.631,3.631,3.63,3.63,237.1
54,54,1693529640000,3.63,3.63,3.629,3.629,21.3
55,55,1693529700000,3.63,3.63,3.623,3.625,3855.0
56,56,1693529760000,3.626,3.627,3.626,3.627,327.1
57,57,1693529820000,3.626,3.626,3.624,3.624,139.9
58,58,1693529880000,3.626,3.628,3.625,3.625,210.4
59,59,1693529940000,3.626,3.629,3.626,3.628,73.6
60,60,1693530000000,3.625,3.626,3.622,3.622,1169.8
61,61,1693530060000,3.623,3.624,3.618,3.618,410.6
62,62,1693530120000,3.621,3.621,3.616,3.616,1075.5
