,index,timestamp,open,high,low,close,volume
0,0,1693785600000,5409.0,5409.0,5406.0,5409.0,1.542
1,1,1693785660000,5408.0,5411.0,5407.0,5410.0,0.854
2,2,1693785720000,5410.0,5412.0,5407.0,5411.0,1.298
3,3,1693785780000,5411.0,5414.0,5411.0,5411.0,0.742
4,4,1693785840000,5411.0,5412.0,5411.0,5411.0,0.09
5,5,1693785900000,5412.0,5413.0,5408.0,5408.0,1.272
6,6,1693785960000,5407.0,5407.0,5406.0,5406.0,0.5
7,7,1693786020000,5406.0,5409.0,5406.0,5409.0,0.394
8,8,1693786080000,5408.0,5408.0,5407.0,5407.0,0.201
9,9,1693786140000,5407.0,5408.0,5407.0,5408.0,0.033
10,10,1693786200000,5407.0,5408.0,5405.0,5405.0,0.389
11,11,1693786260000,5405.0,5406.0,5405.0,5406.0,0.756
12,12,1693786320000,5407.0,5411.0,5407.0,5411.0,0.736
13,13,1693786380000,5411.0,5411.0,5409.0,5410.0,0.297
14,14,1693786440000,5409.0,5412.0,5408.0,5412.0,0.694
15,15,1693786500000,5412.0,5412.0,5409.0,5410.0,1.244
16,16,1693786560000,5411.0,5412.0,5409.0,5409.0,0.39
17,17,1693786620000,5408.0,5412.0,5407.0,5412.0,0.816
18,18,1693786680000,5412.0,5416.0,5411.0,5413.0,3.208
19,19,1693786740000,5413.0,5416.0,5412.0,5416.0,0.581
20,20,1693786800000,5415.0,5415.0,5411.0,5411.0,1.7
21,21,1693786860000,5412.0,5414.0,5412.0,5414.0,0.198
22,22,1693786920000,5415.0,5417.0,5415.0,5417.0,0.627
23,23,1693786980000,5417.0,5424.0,5416.0,5420.0,5.578
24,24,1693787040000,5420.0,5421.0,5418.0,5420.0,0.556
25,25,1693787100000,5421.0,5425.0,5421.0,5423.0,1.046
26,26,1693787160000,5423.0,5423.0,5422.0,5422.0,0.484
27,27,1693787220000,5422.0,5423.0,5422.0,5423.0,0.472
28,28,1693787280000,5422.0,5422.0,5421.0,5421.0,0.324
29,29,1693787340000,5422.0,5422.0,5420.0,5420.0,0.459
30,30,1693787400000,5420.0,5420.0,5412.0,5417.0,5.944
31,31,1693787460000,5418.0,5420.0,5418.0,5420.0,0.47
32,32,1693787520000,5420.0,5420.0,5418.0,5418.0,1.5
33,33,1693787580000,5418.0,5419.0,5418.0,5419.0,0.304
34,34,1693787640000,5418.0,5419.0,5417.0,5418.0,0.34
35,35,1693787700000,5419.0,5421.0,5419.0,5421.0,0.867
36,36,1693787760000,5422.0,5423.0,5422.0,5422.0,0.29
37,37,1693787820000,5423.0,5423.0,5422.0,5423.0,0.084
38,38,1693787880000,5423.0,5427.0,5423.0,5427.0,0.652
39,39,1693787940000,5428.0,5428.0,5427.0,5428.0,0.269
40,40,1693788000000,5427.0,5427.0,5425.0,5426.0,0.412
41,41,1693788060000,5426.0,5429.0,5426.0,5428.0,0.465
42,42,1693788120000,5428.0,5430.0,5428.0,5430.0,0.18
43,43,1693788180000,5430.0,5432.0,5430.0,5432.0,0.074
44,44,1693788240000,5432.0,5433.0,5430.0,5432.0,0.986
45,45,1693788300000,5432.0,5433.0,5431.0,5433.0,0.864
46,46,1693788360000,5432.0,5434.0,5432.0,5432.0,1.925
47,47,1693788420000,5433.0,5434.0,5433.0,5434.0,0.146
48,48,1693788480000,5433.0,5435.0,5433.0,5434.0,1.667
49,49,1693788540000,5435.0,5435.0,5434.0,5434.0,0.165
50,50,1693788600000,5434.0,5435.0,5434.0,5435.0,0.297
51,51,1693788660000,5434.0,5434.0,5426.0,5431.0,12.342
52,52,1693788720000,5431.0,5432.0,5430.0,5431.0,1.24
53,53,1693788780000,5431.0,5431.0,5424.0,5426.0,5.36
54,54,1693788840000,5425.0,5425.0,5423.0,5424.0,0.312
55,55,1693788900000,5424.0,5430.0,5422.0,5428.0,1.676
56,56,1693788960000,5429.0,5429.0,5425.0,5427.0,2.093
57,57,1693789020000,5428.0,5428.0,5426.0,5426.0,0.343
58,58,1693789080000,5427.0,5431.0,5427.0,5431.0,0.918
59,59,1693789140000,5432.0,5432.0,5431.0,5432.0,0.386
60,60,1693789200000,5433.0,5436.0,5432.0,5435.0,0.874
61,61,1693789260000,5435.0,5437.0,5435.0,5436.0,0.207
62,62,1693789320000,5435.0,5436.0,5434.0,5435.0,0.615
63,63,1693789380000,5434.0,5435.0,5434.0,5435.0,1.743
64,64,1693789440000,5436.0,5436.0,5435.0,5436.0,0.207
65,65,1693789500000,5435.0,5437.0,5435.0,5436.0,2.816
66,66,1693789560000,5435.0,5436.0,5434.0,5434.0,0.202
67,67,1693789620000,5435.0,5436.0,5435.0,5436.0,0.682
68,68,1693789680000,5437.0,5437.0,5437.0,5437.0,0.167
69,69,1693789740000,5438.0,5438.0,5438.0,5438.0,0.042
70,70,1693789800000,5438.0,5439.0,5437.0,5439.0,0.322
71,71,1693789860000,5439.0,5440.0,5439.0,5439.0,0.744
72,72,1693789920000,5439.0,5439.0,5439.0,5439.0,0.078
73,73,1693789980000,5439.0,5440.0,5439.0,5440.0,0.116
74,74,1693790040000,5439.0,5440.0,5436.0,5437.0,0.605
75,75,1693790100000,5437.0,5437.0,5436.0,5437.0,0.229
76,76,1693790160000,5438.0,5439.0,5437.0,5437.0,0.526
77,77,1693790220000,5437.0,5439.0,5437.0,5439.0,0.186
78,78,1693790280000,5438.0,5440.0,5438.0,5439.0,0.37
79,79,1693790340000,5439.0,5439.0,5439.0,5439.0,0.044
80,80,1693790400000,5440.0,5440.0,5432.0,5432.0,13.416
81,81,1693790460000,5431.0,5431.0,5427.0,5429.0,0.54
82,82,1693790520000,5429.0,5430.0,5429.0,5429.0,0.322
83,83,1693790580000,5429.0,5429.0,5423.0,5425.0,2.021
84,84,1693790640000,5424.0,5424.0,5417.0,5420.0,0.509
85,85,1693790700000,5420.0,5423.0,5419.0,5423.0,0.866
86,86,1693790760000,5420.0,5422.0,5419.0,5420.0,1.138
87,87,1693790820000,5420.0,5420.0,5418.0,5419.0,0.649
88,88,1693790880000,5418.0,5419.0,5416.0,5419.0,0.336
89,89,1693790940000,5418.0,5418.0,5414.0,5416.0,0.527
90,90,1693791000000,5416.0,5417.0,5415.0,5416.0,0.429
91,91,1693791060000,5415.0,5418.0,5415.0,5417.0,0.535
92,92,1693791120000,5417.0,5417.0,5411.0,5411.0,0.38
93,93,1693791180000,5410.0,5410.0,5405.0,5407.0,0.637
94,94,1693791240000,5408.0,5411.0,5407.0,5411.0,0.593
95,95,1693791300000,5411.0,5411.0,5409.0,5410.0,0.439
96,96,1693791360000,5411.0,5412.0,5411.0,5412.0,1.679
97,97,1693791420000,5412.0,5412.0,5411.0,5411.0,0.804
98,98,1693791480000,5411.0,5411.0,5407.0,5409.0,1.044
99,99,1693791540000,5409.0,5410.0,5406.0,5410.0,1.144
100,100,1693791600000,5409.0,5410.0,5409.0,5410.0,0.157
101,101,1693791660000,5409.0,5409.0,5406.0,5408.0,1.028
102,102,1693791720000,5408.0,5428.0,5408.0,5423.0,9.001
103,103,1693791780000,5422.0,5422.0,5418.0,5420.0,0.41
104,104,1693791840000,5423.0,5423.0,5419.0,5419.0,0.735
105,105,1693791900000,5419.0,5419.0,5416.0,5417.0,1.313
106,106,1693791960000,5417.0,5417.0,5416.0,5416.0,0.367
107,107,1693792020000,5416.0,5420.0,5416.0,5420.0,3.38
108,108,1693792080000,5419.0,5419.0,5417.0,5417.0,0.202
109,109,1693792140000,5417.0,5417.0,5416.0,5417.0,0.367
110,110,1693792200000,5416.0,5416.0,5413.0,5415.0,1.711
111,111,1693792260000,5415.0,5416.0,5415.0,5416.0,0.074
112,112,1693792320000,5415.0,5415.0,5414.0,5414.0,0.199
113,113,1693792380000,5415.0,5418.0,5415.0,5417.0,0.68
114,114,1693792440000,5418.0,5418.0,5417.0,5417.0,0.181
115,115,1693792500000,5417.0,5417.0,5415.0,5416.0,0.566
116,116,1693792560000,5416.0,5418.0,5414.0,5417.0,1.179
117,117,1693792620000,5420.0,5421.0,5419.0,5419.0,0.173
118,118,1693792680000,5419.0,5419.0,5418.0,5419.0,0.293
119,119,1693792740000,5419.0,5421.0,5419.0,5421.0,0.535
120,120,1693792800000,5422.0,5431.0,5422.0,5431.0,0.43
121,121,1693792860000,5431.0,5432.0,5431.0,5431.0,0.334
122,122,1693792920000,5432.0,5432.0,5431.0,5431.0,3.393
123,123,1693792980000,5431.0,5432.0,5424.0,5424.0,0.831
124,124,1693793040000,5424.0,5425.0,5424.0,5425.0,0.9
125,125,1693793100000,5424.0,5425.0,5423.0,5425.0,0.366
126,126,1693793160000,5425.0,5425.0,5425.0,5425.0,0.0
127,127,1693793220000,5425.0,5425.0,5423.0,5425.0,1.268
128,128,1693793280000,5425.0,5426.0,5425.0,5426.0,0.151
129,129,1693793340000,5425.0,5426.0,5425.0,5426.0,0.148
130,130,1693793400000,5425.0,5431.0,5425.0,5431.0,1.03
131,131,1693793460000,5431.0,5431.0,5427.0,5427.0,1.432
132,132,1693793520000,5426.0,5426.0,5425.0,5426.0,0.37
133,133,1693793580000,5425.0,5425.0,5423.0,5425.0,0.192
134,134,1693793640000,5424.0,5425.0,5423.0,5423.0,0.018
135,135,1693793700000,5424.0,5425.0,5423.0,5424.0,0.431
136,136,1693793760000,5424.0,5424.0,5424.0,5424.0,0.063
137,137,1693793820000,5424.0,5424.0,5423.0,5423.0,0.42
138,138,1693793880000,5423.0,5425.0,5423.0,5425.0,0.305
139,139,1693793940000,5425.0,5425.0,5423.0,5423.0,0.196
140,140,1693794000000,5424.0,5424.0,5422.0,5422.0,0.273
141,141,1693794060000,5423.0,5426.0,5423.0,5426.0,0.817
142,142,1693794120000,5427.0,5428.0,5427.0,5428.0,0.068
143,143,1693794180000,5428.0,5429.0,5428.0,5428.0,0.632
144,144,1693794240000,5428.0,5428.0,5427.0,5427.0,0.011
145,145,1693794300000,5428.0,5430.0,5428.0,5430.0,0.058
146,146,1693794360000,5429.0,5429.0,5428.0,5428.0,0.184
147,147,1693794420000,5427.0,5427.0,5427.0,5427.0,0.01
148,148,1693794480000,5427.0,5427.0,5427.0,5427.0,0.034
149,149,1693794540000,5427.0,5428.0,5425.0,5425.0,0.239
150,150,1693794600000,5426.0,5431.0,5425.0,5431.0,0.772
151,151,1693794660000,5431.0,5434.0,5431.0,5434.0,0.37
152,152,1693794720000,5435.0,5435.0,5430.0,5431.0,6.099
153,153,1693794780000,5432.0,5432.0,5431.0,5431.0,0.253
154,154,1693794840000,5432.0,5432.0,5432.0,5432.0,0.084
155,155,1693794900000,5433.0,5436.0,5433.0,5434.0,1.566
156,156,1693794960000,5434.0,5436.0,5434.0,5436.0,0.702
157,157,1693795020000,5437.0,5438.0,5437.0,5437.0,0.164
158,158,1693795080000,5437.0,5443.0,5437.0,5443.0,0.259
159,159,1693795140000,5443.0,5449.0,5443.0,5449.0,0.585
160,160,1693795200000,5448.0,5457.0,5448.0,5453.0,3.466
161,161,1693795260000,5453.0,5453.0,5448.0,5450.0,0.649
162,162,1693795320000,5450.0,5450.0,5448.0,5448.0,0.478
163,163,1693795380000,5450.0,5451.0,5450.0,5451.0,0.264
164,164,1693795440000,5451.0,5458.0,5450.0,5455.0,2.114
165,165,1693795500000,5455.0,5455.0,5454.0,5455.0,0.295
166,166,1693795560000,5455.0,5455.0,5454.0,5455.0,0.171
167,167,1693795620000,5457.0,5457.0,5455.0,5455.0,0.567
168,168,1693795680000,5455.0,5455.0,5455.0,5455.0,0.031
