,index,timestamp,open,high,low,close,volume
0,0,1694217600000,0.2211,0.2213,0.221,0.221,50386
1,1,1694217660000,0.221,0.2211,0.2209,0.2211,34879
2,2,1694217720000,0.2212,0.2212,0.2211,0.2211,12005
3,3,1694217780000,0.2211,0.2212,0.221,0.2212,30796
4,4,1694217840000,0.2212,0.2212,0.2211,0.2211,15781
5,5,1694217900000,0.2211,0.2211,0.2209,0.2209,6969
6,6,1694217960000,0.221,0.2211,0.221,0.2211,18471
7,7,1694218020000,0.221,0.221,0.2209,0.2209,20005
8,8,1694218080000,0.2209,0.2209,0.2209,0.2209,31025
9,9,1694218140000,0.2208,0.2208,0.2205,0.2205,19491
10,10,1694218200000,0.2206,0.2208,0.2204,0.2204,56347
11,11,1694218260000,0.2204,0.2204,0.2203,0.2203,22095
12,12,1694218320000,0.2204,0.2205,0.2203,0.2203,41425
13,13,1694218380000,0.2203,0.2203,0.2202,0.2202,25646
14,14,1694218440000,0.2201,0.2203,0.22,0.2203,29087
15,15,1694218500000,0.2202,0.2202,0.22,0.22,38257
16,16,1694218560000,0.2199,0.2199,0.2195,0.2197,155218
17,17,1694218620000,0.2197,0.2198,0.2194,0.2195,112009
18,18,1694218680000,0.2194,0.2196,0.2194,0.2195,11882
19,19,1694218740000,0.2195,0.2196,0.2195,0.2195,27470
20,20,1694218800000,0.2195,0.2196,0.2195,0.2195,9412
21,21,1694218860000,0.2196,0.2196,0.2194,0.2195,84083
22,22,1694218920000,0.2196,0.2196,0.2195,0.2195,16420
23,23,1694218980000,0.2196,0.2196,0.2194,0.2195,12820
24,24,1694219040000,0.2194,0.2194,0.2192,0.2192,31822
25,25,1694219100000,0.2193,0.2193,0.2192,0.2193,11104
26,26,1694219160000,0.2193,0.2193,0.2192,0.2192,8198
27,27,1694219220000,0.2193,0.2193,0.2192,0.2193,23878
28,28,1694219280000,0.2193,0.2193,0.2192,0.2193,14050
29,29,1694219340000,0.2193,0.2193,0.2191,0.2192,18763
30,30,1694219400000,0.2191,0.2192,0.2191,0.2191,17619
31,31,1694219460000,0.2191,0.2191,0.2189,0.2189,33746
32,32,1694219520000,0.2189,0.2193,0.2189,0.2192,83175
33,33,1694219580000,0.2191,0.2192,0.2191,0.2192,11825
34,34,1694219640000,0.2191,0.2192,0.2191,0.2191,27279
