,index,timestamp,open,high,low,close,volume
0,0,1694649600000,25.31,25.36,25.31,25.32,535.912
1,1,1694649660000,25.32,25.34,25.31,25.34,242.477
2,2,1694649720000,25.34,25.37,25.32,25.37,352.916
3,3,1694649780000,25.36,25.36,25.34,25.34,74.916
4,4,1694649840000,25.34,25.35,25.34,25.34,180.525
5,5,1694649900000,25.35,25.38,25.35,25.35,497.623
6,6,1694649960000,25.35,25.36,25.34,25.34,391.37
7,7,1694650020000,25.33,25.34,25.3,25.3,530.628
8,8,1694650080000,25.29,25.3,25.28,25.3,233.817
9,9,1694650140000,25.3,25.31,25.3,25.31,7.449
10,10,1694650200000,25.31,25.32,25.31,25.32,84.41
11,11,1694650260000,25.32,25.34,25.32,25.33,262.906
12,12,1694650320000,25.32,25.32,25.31,25.32,12.671
13,13,1694650380000,25.32,25.32,25.3,25.32,407.031
14,14,1694650440000,25.32,25.43,25.32,25.38,2363.375
15,15,1694650500000,25.38,25.38,25.36,25.37,536.449
16,16,1694650560000,25.37,25.37,25.36,25.36,475.898
17,17,1694650620000,25.36,25.36,25.36,25.36,35.787
18,18,1694650680000,25.36,25.37,25.35,25.36,292.814
19,19,1694650740000,25.35,25.36,25.35,25.36,188.663
20,20,1694650800000,25.35,25.35,25.32,25.32,165.815
21,21,1694650860000,25.32,25.33,25.32,25.33,155.589
22,22,1694650920000,25.34,25.34,25.33,25.33,101.494
23,23,1694650980000,25.33,25.34,25.33,25.33,39.443
24,24,1694651040000,25.33,25.34,25.33,25.34,18.357
25,25,1694651100000,25.34,25.34,25.32,25.32,239.415
26,26,1694651160000,25.33,25.33,25.32,25.33,76.415
27,27,1694651220000,25.34,25.36,25.34,25.35,384.965
28,28,1694651280000,25.35,25.39,25.35,25.39,86.961
29,29,1694651340000,25.38,25.38,25.36,25.36,134.75
30,30,1694651400000,25.37,25.38,25.37,25.37,52.264
31,31,1694651460000,25.36,25.37,25.36,25.37,127.154
32,32,1694651520000,25.38,25.4,25.36,25.4,103.165
33,33,1694651580000,25.4,25.4,25.39,25.39,35.221
34,34,1694651640000,25.38,25.44,25.38,25.44,320.602
35,35,1694651700000,25.44,25.44,25.4,25.43,582.397
36,36,1694651760000,25.43,25.46,25.43,25.46,251.807
37,37,1694651820000,25.46,25.48,25.46,25.47,530.93
38,38,1694651880000,25.47,25.48,25.46,25.47,72.052
39,39,1694651940000,25.46,25.49,25.46,25.48,620.133
40,40,1694652000000,25.49,25.51,25.48,25.49,235.862
41,41,1694652060000,25.49,25.51,25.46,25.47,1601.451
42,42,1694652120000,25.46,25.46,25.44,25.44,634.453
43,43,1694652180000,25.44,25.44,25.44,25.44,204.896
44,44,1694652240000,25.44,25.44,25.42,25.44,82.734
45,45,1694652300000,25.44,25.47,25.43,25.46,238.499
46,46,1694652360000,25.46,25.5,25.46,25.5,91.705
47,47,1694652420000,25.5,25.53,25.48,25.48,1056.567
48,48,1694652480000,25.49,25.53,25.49,25.5,516.953
49,49,1694652540000,25.5,25.5,25.48,25.48,276.733
50,50,1694652600000,25.49,25.51,25.49,25.51,169.706
51,51,1694652660000,25.51,25.53,25.5,25.53,317.542
52,52,1694652720000,25.52,25.55,25.52,25.55,503.1
53,53,1694652780000,25.54,25.54,25.53,25.53,296.181
54,54,1694652840000,25.52,25.6,25.52,25.59,1819.811
55,55,1694652900000,25.59,25.59,25.55,25.57,708.032
56,56,1694652960000,25.57,25.59,25.56,25.59,380.35
57,57,1694653020000,25.58,25.59,25.56,25.56,581.345
58,58,1694653080000,25.57,25.58,25.57,25.58,319.564
59,59,1694653140000,25.57,25.59,25.55,25.59,749.552
60,60,1694653200000,25.58,25.61,25.58,25.58,698.818
61,61,1694653260000,25.57,25.58,25.55,25.57,653.653
62,62,1694653320000,25.58,25.58,25.55,25.55,316.846
63,63,1694653380000,25.55,25.59,25.55,25.56,591.866
64,64,1694653440000,25.57,25.58,25.54,25.57,500.925
65,65,1694653500000,25.58,25.58,25.53,25.53,779.727
66,66,1694653560000,25.53,25.54,25.5,25.51,299.973
67,67,1694653620000,25.5,25.5,25.47,25.48,228.653
68,68,1694653680000,25.49,25.5,25.49,25.49,460.682
69,69,1694653740000,25.49,25.5,25.48,25.48,67.123
70,70,1694653800000,25.48,25.49,25.43,25.43,631.497
71,71,1694653860000,25.43,25.45,25.42,25.45,398.608
72,72,1694653920000,25.46,25.46,25.46,25.46,362.723
73,73,1694653980000,25.47,25.48,25.45,25.46,625.513
74,74,1694654040000,25.46,25.46,25.43,25.44,326.497
75,75,1694654100000,25.44,25.44,25.39,25.39,431.332
76,76,1694654160000,25.4,25.41,25.38,25.4,155.83
77,77,1694654220000,25.4,25.4,25.38,25.4,387.58
78,78,1694654280000,25.4,25.4,25.33,25.34,583.868
79,79,1694654340000,25.34,25.35,25.33,25.33,271.278
80,80,1694654400000,25.33,25.34,25.28,25.3,797.416
81,81,1694654460000,25.3,25.33,25.3,25.3,771.182
82,82,1694654520000,25.3,25.32,25.3,25.31,321.777
83,83,1694654580000,25.3,25.31,25.29,25.29,405.821
84,84,1694654640000,25.29,25.31,25.29,25.3,34.406
85,85,1694654700000,25.3,25.3,25.29,25.3,59.0
86,86,1694654760000,25.3,25.31,25.3,25.31,291.583
87,87,1694654820000,25.31,25.32,25.3,25.32,397.474
88,88,1694654880000,25.31,25.32,25.3,25.3,228.027
89,89,1694654940000,25.31,25.33,25.31,25.32,311.846
90,90,1694655000000,25.33,25.33,25.3,25.3,150.32
91,91,1694655060000,25.31,25.33,25.31,25.33,258.758
92,92,1694655120000,25.33,25.41,25.33,25.41,1231.036
93,93,1694655180000,25.4,25.4,25.36,25.37,906.932
94,94,1694655240000,25.37,25.4,25.37,25.37,654.683
95,95,1694655300000,25.36,25.36,25.32,25.35,365.851
96,96,1694655360000,25.35,25.35,25.34,25.34,86.289
97,97,1694655420000,25.35,25.38,25.35,25.37,254.459
98,98,1694655480000,25.37,25.37,25.35,25.36,213.756
99,99,1694655540000,25.35,25.36,25.33,25.34,200.998
100,100,1694655600000,25.34,25.34,25.32,25.32,78.548
101,101,1694655660000,25.31,25.31,25.29,25.31,292.371
102,102,1694655720000,25.31,25.32,25.31,25.32,97.913
103,103,1694655780000,25.31,25.31,25.31,25.31,16.582
104,104,1694655840000,25.31,25.32,25.31,25.31,58.798
105,105,1694655900000,25.3,25.31,25.28,25.29,75.077
106,106,1694655960000,25.28,25.28,25.25,25.26,577.115
107,107,1694656020000,25.26,25.27,25.26,25.27,147.506
108,108,1694656080000,25.27,25.27,25.27,25.27,81.95
109,109,1694656140000,25.25,25.25,25.23,25.25,416.557
110,110,1694656200000,25.24,25.24,25.23,25.24,234.069
111,111,1694656260000,25.24,25.24,25.22,25.24,51.342
112,112,1694656320000,25.23,25.24,25.23,25.24,17.219
113,113,1694656380000,25.24,25.27,25.24,25.25,212.389
114,114,1694656440000,25.25,25.25,25.24,25.25,52.804
115,115,1694656500000,25.26,25.27,25.26,25.27,65.672
116,116,1694656560000,25.27,25.27,25.23,25.25,302.713
117,117,1694656620000,25.25,25.25,25.23,25.23,23.229
118,118,1694656680000,25.24,25.25,25.24,25.25,53.341
119,119,1694656740000,25.25,25.25,25.23,25.24,153.351
120,120,1694656800000,25.24,25.26,25.23,25.24,412.298
121,121,1694656860000,25.23,25.25,25.23,25.25,155.661
122,122,1694656920000,25.25,25.28,25.25,25.25,232.618
123,123,1694656980000,25.25,25.25,25.21,25.22,246.249
124,124,1694657040000,25.21,25.23,25.21,25.23,118.82
125,125,1694657100000,25.23,25.23,25.23,25.23,95.408
126,126,1694657160000,25.23,25.25,25.23,25.25,133.943
127,127,1694657220000,25.25,25.26,25.25,25.26,22.933
128,128,1694657280000,25.26,25.28,25.26,25.28,45.723
129,129,1694657340000,25.28,25.29,25.28,25.29,64.923
130,130,1694657400000,25.28,25.29,25.28,25.29,136.788
131,131,1694657460000,25.28,25.28,25.28,25.28,7.625
132,132,1694657520000,25.27,25.27,25.26,25.26,67.444
133,133,1694657580000,25.25,25.25,25.25,25.25,14.298
134,134,1694657640000,25.25,25.28,25.25,25.28,111.531
135,135,1694657700000,25.27,25.27,25.24,25.24,157.261
136,136,1694657760000,25.24,25.24,25.24,25.24,48.913
137,137,1694657820000,25.24,25.25,25.22,25.23,143.601
138,138,1694657880000,25.22,25.24,25.22,25.23,22.186
139,139,1694657940000,25.23,25.23,25.23,25.23,2.828
140,140,1694658000000,25.23,25.24,25.22,25.23,320.268
141,141,1694658060000,25.23,25.23,25.22,25.22,40.642
142,142,1694658120000,25.22,25.22,25.22,25.22,1.838
143,143,1694658180000,25.22,25.22,25.18,25.2,295.458
144,144,1694658240000,25.2,25.21,25.18,25.18,523.655
145,145,1694658300000,25.19,25.2,25.18,25.19,224.198
146,146,1694658360000,25.19,25.21,25.18,25.2,165.619
147,147,1694658420000,25.21,25.21,25.2,25.21,37.623
148,148,1694658480000,25.2,25.22,25.2,25.22,217.728
149,149,1694658540000,25.22,25.23,25.21,25.23,115.585
150,150,1694658600000,25.23,25.23,25.22,25.22,256.183
151,151,1694658660000,25.23,25.23,25.21,25.21,170.281
152,152,1694658720000,25.21,25.22,25.19,25.2,249.447
153,153,1694658780000,25.2,25.21,25.14,25.16,2463.341
154,154,1694658840000,25.15,25.19,25.14,25.18,911.558
155,155,1694658900000,25.17,25.19,25.17,25.18,235.777
156,156,1694658960000,25.18,25.19,25.18,25.19,148.406
157,157,1694659020000,25.18,25.2,25.18,25.18,479.77
158,158,1694659080000,25.18,25.18,25.17,25.18,33.718
159,159,1694659140000,25.18,25.19,25.18,25.19,31.503
160,160,1694659200000,25.19,25.19,25.19,25.19,1.277
161,161,1694659260000,25.19,25.2,25.19,25.2,33.304
162,162,1694659320000,25.19,25.21,25.19,25.21,126.381
163,163,1694659380000,25.21,25.24,25.21,25.24,438.345
164,164,1694659440000,25.23,25.27,25.23,25.27,1028.435
165,165,1694659500000,25.26,25.27,25.25,25.25,634.139
166,166,1694659560000,25.26,25.26,25.24,25.26,81.415
167,167,1694659620000,25.25,25.26,25.25,25.26,11.497
168,168,1694659680000,25.25,25.26,25.25,25.25,8.987
169,169,1694659740000,25.26,25.27,25.26,25.27,148.06
170,170,1694659800000,25.27,25.27,25.25,25.25,294.603
171,171,1694659860000,25.25,25.25,25.25,25.25,2.872
172,172,1694659920000,25.25,25.25,25.25,25.25,2.122
173,173,1694659980000,25.24,25.27,25.24,25.26,1042.968
174,174,1694660040000,25.27,25.27,25.27,25.27,6.043
175,175,1694660100000,25.27,25.27,25.27,25.27,2.411
176,176,1694660160000,25.27,25.28,25.27,25.28,83.502
177,177,1694660220000,25.28,25.29,25.28,25.29,171.31
178,178,1694660280000,25.29,25.29,25.28,25.29,48.692
179,179,1694660340000,25.29,25.31,25.28,25.3,238.459
180,180,1694660400000,25.31,25.35,25.3,25.32,1653.456
181,181,1694660460000,25.33,25.37,25.33,25.36,451.005
182,182,1694660520000,25.35,25.35,25.34,25.35,158.617
183,183,1694660580000,25.35,25.36,25.32,25.33,340.222
184,184,1694660640000,25.32,25.32,25.31,25.31,7.384
185,185,1694660700000,25.32,25.32,25.31,25.32,4.587
186,186,1694660760000,25.32,25.33,25.32,25.33,111.447
187,187,1694660820000,25.33,25.33,25.31,25.31,103.992
188,188,1694660880000,25.32,25.33,25.32,25.33,48.775
189,189,1694660940000,25.32,25.33,25.32,25.33,124.433
190,190,1694661000000,25.34,25.34,25.33,25.33,59.911
191,191,1694661060000,25.32,25.32,25.28,25.3,1399.151
192,192,1694661120000,25.3,25.31,25.3,25.31,54.5
193,193,1694661180000,25.31,25.31,25.31,25.31,1.662
194,194,1694661240000,25.31,25.32,25.31,25.32,99.566
195,195,1694661300000,25.32,25.32,25.31,25.32,61.898
196,196,1694661360000,25.33,25.33,25.31,25.31,21.282
197,197,1694661420000,25.3,25.32,25.3,25.32,112.0
198,198,1694661480000,25.31,25.31,25.28,25.31,221.81
199,199,1694661540000,25.32,25.32,25.32,25.32,0.831
200,200,1694661600000,25.32,25.32,25.31,25.31,199.755
