,index,timestamp,open,high,low,close,volume
0,0,1694044800000,7.339,7.342,7.336,7.339,1062.9
1,1,1694044860000,7.338,7.342,7.337,7.342,298.2
2,2,1694044920000,7.343,7.351,7.342,7.349,526.1
3,3,1694044980000,7.349,7.355,7.349,7.355,379.1
4,4,1694045040000,7.355,7.356,7.352,7.352,114.4
5,5,1694045100000,7.353,7.357,7.345,7.346,996.0
6,6,1694045160000,7.347,7.35,7.347,7.348,39.0
7,7,1694045220000,7.348,7.348,7.348,7.348,5.1
8,8,1694045280000,7.348,7.348,7.336,7.339,319.1
9,9,1694045340000,7.338,7.338,7.33,7.331,523.5
10,10,1694045400000,7.332,7.337,7.332,7.335,467.5
11,11,1694045460000,7.336,7.337,7.334,7.334,151.8
12,12,1694045520000,7.334,7.334,7.332,7.332,318.9
13,13,1694045580000,7.333,7.333,7.329,7.329,385.4
14,14,1694045640000,7.329,7.329,7.323,7.325,465.7
15,15,1694045700000,7.325,7.328,7.324,7.327,1541.5
16,16,1694045760000,7.327,7.327,7.319,7.319,914.1
17,17,1694045820000,7.318,7.318,7.318,7.318,205.5
18,18,1694045880000,7.317,7.323,7.317,7.322,415.9
19,19,1694045940000,7.321,7.321,7.32,7.321,38.7
20,20,1694046000000,7.32,7.32,7.308,7.308,1151.2
21,21,1694046060000,7.308,7.308,7.303,7.306,396.1
22,22,1694046120000,7.306,7.306,7.302,7.302,328.5
23,23,1694046180000,7.302,7.316,7.302,7.314,1262.7
24,24,1694046240000,7.313,7.313,7.311,7.311,229.2
25,25,1694046300000,7.312,7.315,7.309,7.312,612.0
26,26,1694046360000,7.312,7.312,7.311,7.312,50.8
27,27,1694046420000,7.313,7.313,7.311,7.313,118.6
28,28,1694046480000,7.312,7.314,7.312,7.313,199.7
29,29,1694046540000,7.311,7.313,7.309,7.311,246.7
30,30,1694046600000,7.312,7.321,7.312,7.321,1059.1
31,31,1694046660000,7.322,7.322,7.319,7.319,287.6
32,32,1694046720000,7.32,7.322,7.32,7.32,197.3
33,33,1694046780000,7.32,7.321,7.319,7.32,92.9
34,34,1694046840000,7.321,7.323,7.321,7.323,106.1
35,35,1694046900000,7.323,7.323,7.322,7.322,111.0
36,36,1694046960000,7.322,7.323,7.321,7.323,73.3
37,37,1694047020000,7.323,7.323,7.323,7.323,71.4
38,38,1694047080000,7.322,7.322,7.316,7.319,1046.3
