,index,timestamp,open,high,low,close,volume
0,0,1694131200000,0.1705,0.1708,0.1704,0.1707,203026.3
1,1,1694131260000,0.1707,0.1707,0.1705,0.1705,99730.2
2,2,1694131320000,0.1706,0.1706,0.1704,0.1704,64521.8
3,3,1694131380000,0.1705,0.1706,0.1701,0.1702,279098.6
4,4,1694131440000,0.1702,0.1704,0.1701,0.1704,186967.5
5,5,1694131500000,0.1703,0.1706,0.1702,0.1705,129157.4
6,6,1694131560000,0.1704,0.1706,0.1703,0.1705,109997.3
7,7,1694131620000,0.1704,0.1704,0.17,0.17,182289.8
8,8,1694131680000,0.1701,0.1701,0.17,0.1701,1964.4
9,9,1694131740000,0.17,0.1701,0.17,0.17,50024.3
10,10,1694131800000,0.17,0.1701,0.17,0.17,6046.9
11,11,1694131860000,0.1701,0.1702,0.17,0.17,85689.9
12,12,1694131920000,0.17,0.17,0.17,0.17,782.8
13,13,1694131980000,0.1701,0.1702,0.1701,0.1702,76608.1
14,14,1694132040000,0.1702,0.1702,0.17,0.1702,68432.4
15,15,1694132100000,0.1702,0.1703,0.1702,0.1702,27344.5
16,16,1694132160000,0.1702,0.1702,0.1702,0.1702,321.6
17,17,1694132220000,0.1703,0.1703,0.1702,0.1703,21642.2
18,18,1694132280000,0.1702,0.1702,0.1701,0.1701,11767.3
19,19,1694132340000,0.1701,0.1701,0.17,0.1701,23530.2
20,20,1694132400000,0.17,0.1702,0.17,0.1701,14162.4
21,21,1694132460000,0.1701,0.1703,0.1701,0.1702,117878.9
22,22,1694132520000,0.1702,0.1704,0.1702,0.1703,37040.0
23,23,1694132580000,0.1703,0.1704,0.1703,0.1703,17490.2
24,24,1694132640000,0.1704,0.1704,0.1703,0.1703,389.0
25,25,1694132700000,0.1703,0.1704,0.1702,0.1702,27320.4
26,26,1694132760000,0.1702,0.1703,0.1702,0.1703,31256.4
27,27,1694132820000,0.1703,0.1706,0.1703,0.1705,49277.6
28,28,1694132880000,0.1704,0.1704,0.1699,0.17,171114.1
29,29,1694132940000,0.1701,0.1703,0.1701,0.1702,39174.0
30,30,1694133000000,0.1701,0.1701,0.17,0.17,45990.3
31,31,1694133060000,0.1701,0.1702,0.1701,0.1702,61215.2
32,32,1694133120000,0.1703,0.1704,0.1703,0.1703,2873.9
33,33,1694133180000,0.1703,0.1703,0.1703,0.1703,676.5
34,34,1694133240000,0.1703,0.1705,0.1703,0.1704,26242.6
35,35,1694133300000,0.1704,0.1705,0.1704,0.1704,51165.9
36,36,1694133360000,0.1704,0.1705,0.1704,0.1704,17693.3
37,37,1694133420000,0.1705,0.1705,0.1705,0.1705,33592.4
38,38,1694133480000,0.1705,0.1706,0.1704,0.1704,45124.6
39,39,1694133540000,0.1704,0.1705,0.1704,0.1704,11442.2
40,40,1694133600000,0.1705,0.1706,0.1705,0.1705,31159.1
41,41,1694133660000,0.1705,0.1706,0.1704,0.1705,96642.2
42,42,1694133720000,0.1705,0.1706,0.1705,0.1705,7430.3
43,43,1694133780000,0.1705,0.1706,0.1705,0.1705,2799.1
44,44,1694133840000,0.1705,0.1706,0.1704,0.1705,96034.5
45,45,1694133900000,0.1704,0.1705,0.1703,0.1704,59992.0
46,46,1694133960000,0.1704,0.1706,0.1704,0.1706,57488.1
47,47,1694134020000,0.1706,0.1706,0.1705,0.1706,10134.5
48,48,1694134080000,0.1707,0.1709,0.1707,0.1708,176790.7
49,49,1694134140000,0.1708,0.171,0.1707,0.1708,202521.8
50,50,1694134200000,0.1708,0.1729,0.1708,0.1719,2082615.0
51,51,1694134260000,0.1719,0.1725,0.1717,0.1719,677869.3
52,52,1694134320000,0.1719,0.1721,0.1719,0.1721,110826.7
53,53,1694134380000,0.1721,0.1723,0.172,0.1721,250193.8
54,54,1694134440000,0.1721,0.1722,0.1719,0.1721,135659.6
55,55,1694134500000,0.1722,0.1722,0.172,0.1721,72701.8
56,56,1694134560000,0.1722,0.1728,0.1722,0.1727,203526.2
57,57,1694134620000,0.1727,0.1757,0.1726,0.1747,3858087.2
58,58,1694134680000,0.1746,0.1747,0.1742,0.1746,482010.1
59,59,1694134740000,0.1745,0.1747,0.1744,0.1746,292487.0
60,60,1694134800000,0.1746,0.1748,0.1746,0.1747,361013.9
61,61,1694134860000,0.1747,0.1747,0.1742,0.1745,377316.6
62,62,1694134920000,0.1745,0.1748,0.1741,0.1743,470201.3
63,63,1694134980000,0.1742,0.1743,0.174,0.174,148001.1
64,64,1694135040000,0.174,0.1745,0.174,0.1745,72238.2
65,65,1694135100000,0.1744,0.1746,0.1742,0.1743,164155.5
66,66,1694135160000,0.1743,0.1745,0.1731,0.1735,993306.4
67,67,1694135220000,0.1734,0.1735,0.1732,0.1732,121824.3
68,68,1694135280000,0.1732,0.1732,0.1726,0.1729,266069.6
69,69,1694135340000,0.1728,0.1731,0.1728,0.1729,216682.1
70,70,1694135400000,0.173,0.1732,0.1729,0.1731,160067.8
71,71,1694135460000,0.1732,0.1732,0.173,0.1731,42632.6
72,72,1694135520000,0.1732,0.1732,0.1731,0.1731,61621.6
73,73,1694135580000,0.1731,0.1731,0.1728,0.1728,162497.8
74,74,1694135640000,0.1728,0.1729,0.1728,0.1729,37054.8
75,75,1694135700000,0.1729,0.1729,0.1728,0.1729,22337.1
76,76,1694135760000,0.1728,0.1733,0.1728,0.1729,142025.6
77,77,1694135820000,0.1728,0.173,0.1728,0.1728,126580.5
78,78,1694135880000,0.1729,0.1729,0.1727,0.1727,41374.3
79,79,1694135940000,0.1728,0.173,0.1728,0.173,282742.7
80,80,1694136000000,0.1731,0.1731,0.173,0.173,14046.5
81,81,1694136060000,0.1729,0.173,0.1729,0.173,21222.2
82,82,1694136120000,0.1729,0.173,0.1728,0.1728,21470.2
83,83,1694136180000,0.1729,0.1729,0.1728,0.1728,4669.8
84,84,1694136240000,0.1729,0.1729,0.1728,0.1728,1365.1
85,85,1694136300000,0.1728,0.1729,0.1728,0.1728,15941.2
86,86,1694136360000,0.1729,0.1729,0.1728,0.1729,63083.8
87,87,1694136420000,0.1728,0.1729,0.1727,0.1727,34916.9
